SherpaEurope,Thu Apr 30 14:50:45 +0000 2015,RT @Bremont: .@SherpaEurope launches appeal to help support #NepalEarthquake #HelpSherpasHelpNepal and donate here https://t.co/jxrYeLQKRB …
fueledbyzoe,Thu Apr 30 14:50:45 +0000 2015,"RT @subcitynp: Support #NepalEarthquake relief efforts by bidding on @cyrusbolooki's ""One More Round"" gear: http://t.co/StUB4o3h79? http://…"
ganjianwei,Thu Apr 30 14:50:45 +0000 2015,RT @jack: Take 30 seconds out of your day to fund UNICEF relief efforts for children &amp; families displaced by #NepalEarthquake: http://t.co/…
Paddy_McKeanEFC,Thu Apr 30 14:50:45 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
sorridoperhoran,Thu Apr 30 14:50:44 +0000 2015,RT @onedirection: To help those affected by the devastating earthquake in Nepal text: DONATE5 to 70008 and give £5. Thank you #NepalEarthqu…
VisionPropMgt,Thu Apr 30 14:50:44 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
9amgirl,Thu Apr 30 14:50:43 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
LaPetit83,Thu Apr 30 14:50:42 +0000 2015,RT @BBCWorld: Baby boy Sonit Awal was rescued 22 hours after #NepalEarthquake http://t.co/R7t3Xjepzc http://t.co/TNVGNEMbCu
kaur_prabjot,Thu Apr 30 14:50:42 +0000 2015,RT @Khalsa_Aid: CEO and founder of KA @RaviSinghKA greeting the locals in Nepal affected by #NepalEarthquake @LookASingh @CatrinNye http://…
Rajendra078,Thu Apr 30 14:50:41 +0000 2015,"RT @smadixit: Channelizing of funds via only @Nepal_PM_Fund is not a bad idea. But, VERY STRONG mechanism to prevent #corruption reqd ! #Ne…"
blackinkedchild,Thu Apr 30 14:50:39 +0000 2015,"RT @Louis_Tomlinson: Just donated @savechildrenuk #NepalEarthquake appeal. If you can too, go here http://t.co/NXBJftNl9m or text: DONATE5 …"
HECglobal,Thu Apr 30 14:50:37 +0000 2015,@SchooLinks @SLNLinking @DEC_SY our resource on #NepalEarthquake to support teachers here http://t.co/L7cVr1tBC9 please use and circulate!
karlsoledad,Thu Apr 30 14:50:37 +0000 2015,RT @savechildrenuk: Your support saves lives. Donate now to help us reach more children and families with vital supplies #NepalEarthquake h…
kesubagale,Thu Apr 30 14:50:37 +0000 2015,"RT @smadixit: Channelizing of funds via only @Nepal_PM_Fund is not a bad idea. But, VERY STRONG mechanism to prevent #corruption reqd ! #Ne…"
RedCrossAB,Thu Apr 30 14:50:36 +0000 2015,RT @redcrosscanada: RT @elsharkawi Nepal Red Cross and @Federation #NepalEarthquake emergency operations hub in Kathmandu. http://t.co/gkrU…
Bremont,Thu Apr 30 14:50:33 +0000 2015,.@SherpaEurope launches appeal to help support #NepalEarthquake #HelpSherpasHelpNepal and donate here https://t.co/jxrYeLQKRB @KentonCool
JagBARUN,Thu Apr 30 14:50:33 +0000 2015,"Sud we apply biometric system in order to avoid duplication of distribution of relief items?
#NepalEarthquake #NepalQuakeRelief"
OurNepal,Thu Apr 30 14:50:31 +0000 2015,#PrayForNepal #NepalQuake #NepalEarthquake #NepalQuakeRelief #Nepal  https://t.co/bVOCJX0Hw5
pndblog,Thu Apr 30 14:50:30 +0000 2015,RT @GE_Foundation is supporting partner @AmeriCares in Nepal relief efforts #NepalEarthquake
ngai92,Thu Apr 30 14:50:30 +0000 2015,RT @Valolic_: Still no news about my brother's group in #Langtang area. Please help us. #Ghodatabela #NepalEarthquake #SixDays http://t.co/…
harryafkaori,Thu Apr 30 14:50:30 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
aapkaambi,Thu Apr 30 14:50:29 +0000 2015,"#NepalEarthquake में कौन से देश ने दी क्या-क्या मदद, यह रहा ब्योरा ---
http://t.co/toP2rUJ3Fo http://t.co/1tDiym4rGf"
SRKdream,Thu Apr 30 14:50:29 +0000 2015,RT @TEAMSRK_ONLINE: We've donated some amount through @CAREIndia for affected people in #NepalEarthquake►@iamsrk fans donate if u can pls h…
FedralismNoEthi,Thu Apr 30 14:50:28 +0000 2015,RT @BBCWorld: Baby boy Sonit Awal was rescued 22 hours after #NepalEarthquake http://t.co/R7t3Xjepzc http://t.co/TNVGNEMbCu
restlessrohit,Thu Apr 30 14:50:27 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
princelynouis,Thu Apr 30 14:50:27 +0000 2015,"RT @Louis_Tomlinson: Just donated @savechildrenuk #NepalEarthquake appeal. If you can too, go here http://t.co/NXBJftNl9m or text: DONATE5 …"
